age,DSF,DSB,DSS,MA,Numeracy,Calculation
21,9,7,7,54,0,85
27,7,4,9,40,1,104
23,14,15,11,34,3,110
25,8,7,6,47,1,82
20,8,8,7,48,1,59
22,8,6,8,34,3,89
23,10,11,13,30,4,127
23,9,8,7,32,1,104
21,9,7,8,40,1,116
20,8,10,10,27,2,106
24,9,11,11,40,1,96
20,9,8,10,28,3,121
24,9,11,9,33,4,122
24,10,10,11,41,4,133
24,8,11,10,44,2,116
25,8,8,9,33,4,113
25,8,10,9,39,3,112
23,9,8,10,31,3,101
23,7,6,9,62,2,86
21,9,10,10,56,2,119
32,10,6,10,40,0,75
26,10,9,8,62,3,65
23,6,8,8,39,2,111
25,8,7,11,31,4,107
23,10,9,11,35,4,130
37,6,4,6,56,1,49
26,8,8,10,39,1,88
20,9,7,7,39,2,79
19,8,7,9,38,1,130
28,13,13,11,34,4,126
26,10,8,9,25,4,119
23,8,9,9,39,3,101
25,10,7,10,35,2,114
22,10,15,9,36,1,97
22,6,6,10,40,0,94
21,9,8,11,30,4,119
26,8,12,10,28,4,116
31,7,7,9,34,1,79
20,8,10,10,24,2,110
29,13,9,12,40,2,129
29,8,11,7,41,3,107
20,8,10,9,32,4,117
19,6,9,7,39,0,76
22,7,9,10,46,2,110
23,9,9,10,26,3,128
22,11,11,10,34,4,122
22,9,9,8,41,4,138
20,10,8,9,69,2,106
19,8,9,9,51,1,88
20,10,10,12,42,1,101
24,12,11,13,34,3,130
21,6,10,10,30,3,128
20,13,7,11,37,1,100
22,9,8,7,48,1,105
20,9,10,9,45,1,120
22,7,7,9,43,0,97
21,12,10,10,30,2,115
21,7,7,8,26,2,126
26,9,9,9,43,1,90
25,10,7,8,32,1,66
25,10,8,12,46,4,117
26,9,10,10,31,4,95
26,8,8,11,37,4,119
23,11,9,9,43,2,94
25,11,11,8,63,1,89
23,10,9,10,37,3,119
24,11,11,10,36,1,112
27,9,10,8,58,3,96
29,11,12,11,47,4,156
20,10,10,11,43,2,111
25,10,9,12,40,2,124
25,9,7,10,35,0,151
26,10,8,8,38,4,153
25,8,10,10,49,4,122
25,10,10,10,33,2,135
24,7,10,7,45,1,84
26,11,12,10,26,4,138
20,7,11,6,32,2,85
21,9,8,11,64,0,55
24,9,9,8,28,2,97
24,12,10,9,28,0,140
20,13,12,10,35,4,121
22,9,9,10,34,3,93
24,8,10,8,31,3,110
24,11,12,10,34,4,139
22,9,8,10,36,4,121
24,10,13,12,29,3,120
21,9,9,8,37,3,115
20,10,8,8,54,3,102
25,15,9,12,33,2,136
25,10,11,12,40,3,129
25,11,8,9,35,2,110
23,9,10,10,27,4,141
26,11,6,9,39,3,92
22,11,8,11,33,2,71
29,9,7,13,39,2,83
25,10,11,10,37,3,143
27,8,9,9,34,2,120
19,10,10,13,47,0,100
20,9,6,9,43,1,58
20,9,7,11,41,1,100
19,9,6,7,47,1,96
23,10,9,8,54,2,115
23,10,11,9,55,3,82
23,11,6,9,37,3,107
21,8,6,8,42,2,112
33,9,9,9,36,4,158
21,6,7,7,49,1,84
29,7,8,8,53,2,90
25,8,9,8,52,2,93
25,9,10,9,31,2,96
20,7,6,7,43,2,91
19,12,9,7,40,1,114
23,9,7,9,31,2,102
25,10,9,12,40,2,108
27,12,11,9,40,4,89
25,8,11,11,30,2,100
26,7,5,5,32,0,83
26,9,6,8,47,1,89
26,10,9,10,36,2,143
26,6,7,9,31,0,72
27,11,11,14,36,0,124
21,10,10,10,38,3,144
21,9,8,6,45,1,111
21,13,12,8,40,2,112
20,8,8,10,49,3,106
19,7,10,9,40,1,79
25,11,11,12,30,3,131
30,9,6,6,68,0,81
24,9,9,9,41,2,108
26,9,11,12,42,2,90
20,10,8,9,43,3,62
21,11,12,14,39,4,112
23,10,9,8,32,1,97
20,10,7,7,49,0,86
25,8,6,8,81,1,69
21,9,9,12,41,3,127
20,12,10,14,31,3,131
27,9,9,8,54,2,94
25,7,9,6,33,1,64
29,9,9,9,26,1,125
27,7,10,6,58,1,69
24,8,7,7,30,2,112
27,9,8,7,39,2,94
26,10,11,12,31,4,125
24,8,6,9,29,4,135
25,11,10,15,46,4,131
29,11,10,10,49,1,113
23,9,10,10,41,2,86
26,7,4,5,62,1,86
23,12,14,13,40,2,107
23,10,8,10,63,2,60
24,8,8,8,50,2,81
24,7,10,7,38,2,106
41,15,13,11,31,4,152
29,10,10,14,30,1,135
25,9,8,9,60,2,102
31,9,10,9,45,2,107
25,10,11,9,37,2,99
25,11,9,12,26,2,118
27,12,10,15,28,2,136
26,9,13,12,46,4,155
28,10,11,8,27,2,117
25,7,6,7,37,2,77
27,7,8,8,54,1,79
29,9,13,10,35,3,93
